,songs_id,songs_name,artist_name,artist_id,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,artist_genre
0,6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,['Britney Spears'],['26dSoYclwsYLMAKD3tpOr4'],2000,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,211160,4,"['dance pop', 'pop', 'post-teen pop']"
1,2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,['blink-182'],['6FBDaR13swtiWwGhX1WQsP'],2000,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,167067,4,"['pop punk', 'punk', 'socal pop punk']"
2,3y4LxiYMgDl4RethdzpmNe,Breathe,['Faith Hill'],['25NQNriVT2YbSW80ILRWJa'],2000,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,250547,4,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']"
3,0v1XpBHnsbkCn7iJ9Ucr1l,It's My Life,['Bon Jovi'],['58lV9VcRSjABbAbfWS6skp'],2000,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,224493,4,"['glam metal', 'hard rock', 'rock']"
4,4r8lRYnoOGdEi6YyI5OC1o,Bye Bye Bye,['*NSYNC'],['6Ff53KvcvAj5U7Z1vojB5o'],2000,0.614,0.928,8,-4.806,0,0.0516,0.0408,0.00104,0.0845,0.879,172.656,200560,4,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
5,5Mmk2ii6laakqfeCT7OnVD,Thong Song,['Sisqo'],['6x9QLdzo6eBZxJ1bHsDkjg'],2000,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64e-05,0.07,0.714,121.549,253733,4,"['hip hop', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'urban contemporary']"
6,3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,['Eminem'],['7dGJo4pcD2V6oG8kP0tJRR'],2000,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200,4,"['detroit hip hop', 'hip hop', 'rap']"
7,4pbyDPjFgfPqFTcIMC8xpK,Rock DJ,['Robbie Williams'],['2HcwFjNelS49kFbfvMxQYw'],2000,0.708,0.772,7,-4.264,1,0.0322,0.0267,0.0,0.467,0.861,103.035,258560,4,"['dance pop', 'dance rock', 'europop', 'pop']"
8,7H6ev70Weq6DdpZyyTmUXk,Say My Name,"[""Destiny's Child""]",['1Y8cdNmUJH7yBTd9yOvr5i'],2000,0.713,0.678,5,-3.525,0,0.102,0.273,0.0,0.149,0.734,138.009,271333,4,"['dance pop', 'girl group', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
9,5OQGeJ1ceykovrykZsGhqL,Breathless,['The Corrs'],['1VbWUxZTRNY2gw3qZ1tg9W'],2000,0.607,0.82,11,-7.754,1,0.0597,0.0541,6.8e-05,0.269,0.768,126.988,207507,4,"['bow pop', 'celtic rock', 'dance pop', 'europop', 'new wave pop', 'pop rock']"
10,2AogRMqARWyUP7VQ3gmSoY,Can't Fight The Moonlight,['LeAnn Rimes'],['2d3VHzlOEwXvmBdS4pzOPL'],2000,0.628,0.834,6,-6.341,0,0.0497,0.403,0.0,0.051,0.626,97.865,215507,4,"['country', 'country dawn', 'dance pop', 'pop rock']"
11,6MnWfOgKRkQtY1pRgoTwB1,Reach,['S Club 7'],['1kM5rgJvkiDMOoKX56H6pX'],2000,0.597,0.793,7,-7.006,1,0.0361,0.0123,5.45e-06,0.157,0.755,167.2,243266,4,"['bubblegum dance', 'dance pop', 'europop', 'post-teen pop']"
12,2TTYIwTM2iLC1YOyHuhRMt,Lucky,['Britney Spears'],['26dSoYclwsYLMAKD3tpOr4'],2000,0.765,0.791,8,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026,206227,4,"['dance pop', 'pop', 'post-teen pop']"
13,7A0apkTSTvMbSI7yplcmlh,Come on over Baby (All I Want Is You) - Radio Version,['Christina Aguilera'],['1l7ZsJRRS8wlW3WfJfPfNS'],2000,0.829,0.915,8,-3.205,1,0.106,0.226,1.25e-05,0.246,0.779,118.903,203333,4,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
14,1vlTMKVV0FxG6CxGTmSY3t,Life Is A Rollercoaster,['Ronan Keating'],['3nlHsNqwCSvT988ZfSW1Yh'],2000,0.655,0.791,0,-8.923,1,0.0302,0.1,0.000124,0.334,0.862,118.981,234827,4,"['dance pop', 'europop', 'soft rock']"
15,35o9a4iAfLl5jRmqMX9c1D,Shape of My Heart,['Backstreet Boys'],['5rSXSAkZ67PYJSvpUpkOr7'],2000,0.575,0.786,9,-4.353,1,0.0296,0.252,0.0,0.159,0.518,96.102,230093,4,"['boy band', 'dance pop']"
